,USPS,ST,NAME,ZCTA5,LAT,LON
138,中国,CN,威海市-3710,264200,37.209875,121.98887500000001
139,中国,CN,日照市-3711,262300,36.07266666666666,118.89293333333335
140,中国,CN,临沂市-3713,273300,35.976255555555554,117.83515555555556
141,中国,CN,德州市-3714,251100,37.39244166666666,116.76558333333332
142,中国,CN,聊城市-3715,252000,36.6457875,115.8567
143,中国,CN,滨州市-3716,251700,37.17997142857143,117.43392857142858
144,中国,CN,菏泽市-3717,274000,35.2393,115.4736
145,中国,CN,郑州市-4101,450000,34.631685714285716,113.44945714285714
146,中国,CN,开封市-4102,452100,34.6977,113.93883333333333
147,中国,CN,洛阳市-4103,471000,34.6998,112.62461
148,中国,CN,平顶山市-4104,462500,33.85672857142857,113.13091428571428
149,中国,CN,安阳市-4105,455000,35.9648,114.25593333333333
150,中国,CN,鹤壁市-4106,456200,35.8992,114.1925
151,中国,CN,新乡市-4107,453000,35.295775,114.225925
152,中国,CN,焦作市-4108,454100,35.17558571428572,112.95315714285714
153,中国,CN,濮阳市-4109,457000,35.7051,115.0141
154,中国,CN,许昌市-4110,461000,34.1247,113.81592
155,中国,CN,漯河市-4111,462000,33.463625,113.848
156,中国,CN,三门峡市-4112,472000,34.631,111.3682
157,中国,CN,南阳市-4113,473100,32.81240833333334,112.269775
158,中国,CN,商丘市-4114,476100,34.1752,116.01011249999999
159,中国,CN,信阳市-4115,464000,33.47904444444444,114.47325555555555
160,中国,CN,周口市-4116,452600,33.95905454545455,114.14120000000001
161,中国,CN,驻马店市-4117,462100,33.02948888888889,114.00203333333333
162,中国,CN,武汉市-4201,430000,30.747400000000003,113.87773999999999
163,中国,CN,黄石市-4202,435000,30.130233333333337,115.06053333333334
164,中国,CN,十堰市-4203,442000,32.39554285714286,111.03124285714286
165,中国,CN,宜昌市-4205,443000,30.648133333333334,111.59322222222224
166,中国,CN,襄阳市-4206,441000,31.832837499999997,112.4911125
167,中国,CN,鄂州市-4207,436000,30.4904,113.7398
168,中国,CN,荆门市-4208,431800,31.035349999999998,112.4585
169,中国,CN,孝感市-4209,432000,31.00227142857143,113.73732857142858
170,中国,CN,荆州市-4210,433200,30.04852857142857,112.46430000000001
171,中国,CN,黄冈市-4211,435300,30.540655555555556,115.06630000000001
172,中国,CN,咸宁市-4212,437000,29.8609,113.97351666666667
173,中国,CN,随州市-4213,432700,31.6636,113.58935000000001
174,中国,CN,恩施土家族苗族自治州-4228,444300,31.456487499999998,111.78028750000001
175,中国,CN,长沙市-4301,410000,28.042939999999998,112.87732000000001
176,中国,CN,株洲市-4302,412000,27.518716666666666,113.1108
177,中国,CN,湘潭市-4303,411100,27.833325000000002,112.64999999999999
178,中国,CN,衡阳市-4304,421000,26.832622222222223,112.66279999999999
179,中国,CN,邵阳市-4305,422000,26.8122,110.79941111111111
180,中国,CN,岳阳市-4306,410400,28.938585714285715,113.01848571428572
181,中国,CN,常德市-4307,415000,29.0321,111.6984
182,中国,CN,张家界市-4308,427000,29.1294,110.4783
183,中国,CN,益阳市-4309,413000,28.7149,112.35118000000001
184,中国,CN,郴州市-4310,423000,26.317755555555557,112.53674444444444
185,中国,CN,永州市-4311,425000,26.57698888888889,111.37907777777778
186,中国,CN,怀化市-4312,418000,27.641936363636365,111.1114909090909
187,中国,CN,娄底市-4313,417000,27.688383333333334,111.61035
188,中国,CN,湘西土家族苗族自治州-4331,416000,27.8963,112.0379
189,中国,CN,广州市-4401,510000,23.35002,113.16332
190,中国,CN,韶关市-4402,511100,24.8505375,113.655675
191,中国,CN,深圳市-4403,518000,22.663766666666668,114.1983
192,中国,CN,珠海市-4404,519000,22.2769,113.56779999999999
193,中国,CN,汕头市-4405,515000,23.3356,116.45312
194,中国,CN,佛山市-4406,528000,22.82528,113.23054
195,中国,CN,江门市-4407,529000,22.40095,112.73293333333332
196,中国,CN,湛江市-4408,524000,21.314266666666665,110.3785
197,中国,CN,茂名市-4409,525000,21.89806,110.82530000000001
198,中国,CN,肇庆市-4412,526000,23.208485714285718,112.5733
199,中国,CN,惠州市-4413,516000,22.979499999999998,114.99096
200,中国,CN,梅州市-4414,514000,24.218414285714285,115.9202
201,中国,CN,汕尾市-4415,516400,22.905225,115.314825
202,中国,CN,河源市-4416,517000,23.7333,114.68329999999999
203,中国,CN,阳江市-4417,529600,22.127466666666667,112.10516666666666
204,中国,CN,清远市-4418,511500,24.34805,113.03385
205,中国,CN,东莞市-4419,523000,23.018,113.7487
206,中国,CN,中山市-4420,528400,22.5231,113.3791
207,中国,CN,潮州市-4451,515600,23.439866666666664,116.49000000000001
208,中国,CN,揭阳市-4452,515200,23.370179999999998,116.36112
209,中国,CN,云浮市-4453,527000,22.848699999999997,111.80348333333332
210,中国,CN,南宁市-4501,530000,22.744525,108.159925
211,中国,CN,柳州市-4502,545000,24.324100000000005,109.407
212,中国,CN,桂林市-4503,541000,25.00712727272727,110.46161818181818
213,中国,CN,梧州市-4504,541300,23.903414285714284,110.62132857142858
214,中国,CN,北海市-4505,536000,21.4835,109.11549999999998
215,中国,CN,防城港市-4506,535500,21.881433333333334,108.32893333333334
216,中国,CN,钦州市-4507,535000,21.9825,108.6506
217,中国,CN,贵港市-4508,537100,23.157633333333333,109.90343333333334
218,中国,CN,玉林市-4509,537000,22.86435,110.11021666666666
219,中国,CN,百色市-4510,531400,23.350516666666667,106.8402
220,中国,CN,贺州市-4511,542600,24.2855,110.94775
221,中国,CN,河池市-4512,530700,24.22214,108.28934999999998
222,中国,CN,来宾市-4513,545700,24.032866666666667,109.31946666666666
223,中国,CN,崇左市-4514,532100,22.239285714285714,107.0625
224,中国,CN,海口市-4601,570000,19.65645,110.327
225,中国,CN,三亚市-4602,572000,18.2543,109.5095
226,中国,CN,三沙市-4603,573100,16.8391,112.3406
227,中国,CN,儋州市-4604,571700,19.2163,109.93725
228,中国,CN,成都市-5101,610000,30.750026666666663,104.09702666666668
229,中国,CN,自贡市-5103,643000,29.3416,104.7769
230,中国,CN,攀枝花市-5104,617000,30.8018,104.1426
231,中国,CN,泸州市-5105,646000,28.890299999999996,105.42569999999999
232,中国,CN,德阳市-5106,618000,31.145416666666662,104.2563
233,中国,CN,绵阳市-5107,621000,32.01515,104.61895
234,中国,CN,广元市-5108,628000,32.442,105.823
235,中国,CN,遂宁市-5109,629000,30.508,105.5733
236,中国,CN,内江市-5110,641000,29.8741,104.81504
237,中国,CN,乐山市-5111,613100,29.67498181818182,103.79832727272728
238,中国,CN,南充市-5113,637000,31.510533333333335,106.01806666666666
239,中国,CN,眉山市-5114,620000,30.043899999999997,103.837
240,中国,CN,宜宾市-5115,644000,29.083599999999997,104.67211999999999
241,中国,CN,广安市-5116,638000,30.4243,106.70482
242,中国,CN,达州市-5117,635000,31.640249999999998,107.74934999999999
243,中国,CN,雅安市-5118,625000,29.9852,102.999
244,中国,CN,巴中市-5119,635600,31.783466666666666,107.84476666666667
245,中国,CN,资阳市-5120,641300,30.1447,104.6642
246,中国,CN,阿坝藏族羌族自治州-5132,623000,31.96849230769231,103.04968461538462
247,中国,CN,甘孜藏族自治州-5133,626000,31.5591,103.9114
248,中国,CN,凉山彝族自治州-5134,615000,30.801799999999997,104.1426
249,中国,CN,贵阳市-5201,550000,26.66854,106.6653
250,中国,CN,六盘水市-5202,553000,26.776466666666664,104.66276666666666
251,中国,CN,遵义市-5203,563000,27.96093076923077,106.44886153846154
252,中国,CN,安顺市-5204,550800,26.122983333333334,105.96215000000001
253,中国,CN,毕节市-5205,551500,26.967414285714284,105.24857142857142
254,中国,CN,铜仁市-5206,554000,26.737199999999998,106.57878000000001
255,中国,CN,黔西南布依族苗族自治州-5223,552200,26.001975,105.6572625
256,中国,CN,黔东南苗族侗族自治州-5226,556000,26.827786666666665,107.11578
257,中国,CN,黔南布依族苗族自治州-5227,550100,26.735899999999997,106.57972500000001
258,中国,CN,昆明市-5301,650000,25.342292857142855,102.83017857142858
